,state,rep_votes_share,dem_votes_share,maskActual,predR,predRMask,year,margin,error margin,predMargin,errors
99,Wyoming,0.743006361,0.256993639,1,0.7422395,1,2012,0.48601272199999995,0.0007668857497558079,0.48447895,1.0
100,Alaska,0.554379525,0.445620475,1,0.556338,1,2014,0.10875904999999997,0.0019584872184753577,0.112676024,1.0
101,Alabama,0.655195471,0.308530999,1,0.6560876,1,2014,0.346664472,0.0008921063429870868,0.31217515,1.0
102,Arkansas,0.66670286,0.33329714,1,0.66811883,1,2014,0.33340572,0.0014159744955444253,0.33623767,1.0
103,Arizona,0.585718853,0.414250326,1,0.5870856,1,2014,0.17146852700000004,0.001366751667663535,0.17417121,1.0
104,California,0.420419508,0.579580492,0,0.41630718,0,2014,-0.15916098399999995,0.004112326880081174,-0.16738561,-1.0
105,Colorado,0.516466885,0.483533115,1,0.51766133,1,2014,0.03293377000000003,0.0011944480841064031,0.035322666,1.0
106,Connecticut,0.403469431,0.587588512,0,0.40237746,0,2014,-0.18411908099999996,0.001091974573379506,-0.19524506,-1.0
107,Delaware,0.382855884,0.617144116,0,0.3841741,0,2014,-0.23428823199999999,0.0013182245052490438,-0.23165178,-1.0
108,Florida,0.560158676,0.439841324,1,0.5589171,1,2014,0.12031735200000004,0.0012415708020935279,0.11783421,1.0
109,Georgia,0.585171488,0.414828512,1,0.58651483,1,2014,0.17034297599999998,0.0013433425892944717,0.17302966,1.0
110,Hawaii,0.337804233,0.662195767,0,0.33949673,0,2014,-0.32439153400000004,0.0016924987581176665,-0.32100654,-1.0
111,Iowa,0.539217993,0.460782007,1,0.5403677,1,2014,0.07843598599999996,0.0011497295112915529,0.080735445,1.0
112,Idaho,0.632131449,0.367868551,1,0.63381946,1,2014,0.26426289799999997,0.0016880118688354928,0.26763892,1.0
113,Illinois,0.485765284,0.514234716,0,0.48488843,0,2014,-0.028469432000000017,0.0008768495899048045,-0.030223131,-1.0
114,Indiana,0.611033213,0.388966787,1,0.6106964,1,2014,0.22206642600000004,0.0003368376299743847,0.22139275,1.0
115,Kansas,0.634477159,0.365522841,1,0.6350314,1,2014,0.268954318,0.000554243111053454,0.2700628,1.0
116,Kentucky,0.634759943,0.36358153,1,0.63472486,1,2014,0.27117841300000006,3.508757702641585e-05,0.2694497,1.0
117,Louisiana,0.717427177,0.282572823,1,0.71717966,1,2014,0.43485435400000005,0.0002475209712524684,0.4343593,1.0
118,Massachusetts,0.171977131,0.822242148,0,0.17462085,0,2014,-0.650265017,0.002643720874351496,-0.65075827,-1.0
119,Maryland,0.418621153,0.581378847,0,0.41833615,0,2014,-0.16275769399999995,0.0002849999696045158,-0.1633277,-1.0
120,Maine,0.385216025,0.515559234,0,0.38682193,0,2014,-0.13034320900000002,0.0016059006401061837,-0.22635615,-1.0
121,Michigan,0.491244998,0.508755002,0,0.49527565,0,2014,-0.017510004000000023,0.004030648448135388,-0.009448737,-1.0
122,Minnesota,0.755173149,0.244826851,1,0.75123745,1,2014,0.510346298,0.003935696969818103,0.5024749,1.0
123,Missouri,0.616972497,0.378007278,1,0.61755043,1,2014,0.238965219,0.0005779356820373449,0.23510087,1.0
124,Mississippi,0.544910517,0.380768078,1,0.5455107,1,2014,0.16414243900000003,0.0006001922857360453,0.09102142,1.0
125,Montana,0.57825738,0.42174262,1,0.57837194,1,2014,0.15651476000000003,0.00011456204330440034,0.15674388,1.0
126,North Carolina,0.557599849,0.442400151,1,0.55826336,1,2014,0.11519969800000002,0.0006635124540099735,0.11652672,1.0
127,North Dakota,0.590731378,0.409268622,1,0.594005,1,2014,0.18146275599999995,0.0032736106703491474,0.18800998,1.0
128,Nebraska,0.647877578,0.352122422,1,0.647603,1,2014,0.295755156,0.00027460263150025366,0.29520595,1.0
129,New Hampshire,0.484276271,0.515723729,0,0.48371845,0,2014,-0.031447457999999984,0.0005578161622009081,-0.03256309,-1.0
130,New Jersey,0.489403187,0.509992636,0,0.4845832,0,2014,-0.020589448999999982,0.004819987975799578,-0.030833602,-1.0
131,New Mexico,0.470025246,0.529974754,0,0.47044238,0,2014,-0.05994950800000004,0.00041713848143004606,-0.0591152,-1.0
132,Nevada,0.588505938,0.405738536,1,0.58591264,1,2014,0.18276740199999997,0.0025932931368712886,0.17182529,1.0
133,New York,0.412873085,0.587126915,0,0.4120048,0,2014,-0.17425383000000005,0.0008682863492583959,-0.17599037,-1.0
134,Ohio,0.600209116,0.399790884,1,0.59934753,1,2014,0.20041823200000003,0.0008615842044983335,0.19869506,1.0
135,Oklahoma,0.700343121,0.266327321,1,0.7008176,1,2014,0.43401579999999995,0.00047446399145512075,0.40163517,1.0
136,Oregon,0.425878301,0.568515009,0,0.42643481,0,2014,-0.14263670799999995,0.0005565139299621435,-0.14713037,-1.0
137,Pennsylvania,0.55158321,0.441576479,1,0.55111754,1,2014,0.11000673099999997,0.00046567059417723655,0.10223508,1.0
138,Rhode Island,0.388976757,0.611023243,0,0.39244404,0,2014,-0.222046486,0.0034672873515777525,-0.21511194,-1.0
139,South Carolina,0.660790423,0.339209577,1,0.65580475,1,2014,0.32158084600000003,0.004985669696472184,0.3116095,1.0
140,South Dakota,0.66529627,0.33470373,1,0.6638314,1,2014,0.33059254000000005,0.0014648572077942124,0.32766283,1.0
141,Tennessee,0.627478027,0.331478648,1,0.625506,1,2014,0.295999379,0.0019720431705017027,0.25101197,1.0
142,Texas,0.644317337,0.353772217,1,0.6428222,1,2014,0.29054512000000005,0.0014951309796448209,0.2856444,1.0
143,Utah,0.656721388,0.343278612,1,0.65630805,1,2014,0.31344277600000003,0.00041333307598878655,0.3126161,1.0
144,Virginia,0.561497035,0.415294851,1,0.560057,1,2014,0.146202184,0.0014400505754089687,0.12011397,1.0
145,Vermont,0.3174515,0.658859286,0,0.3161591,0,2014,-0.341407786,0.0012924006595611548,-0.36768177,-1.0
146,Washington,0.483766752,0.516233248,0,0.4814806,0,2014,-0.03246649600000001,0.002286153550292991,-0.037038803,-1.0
147,Wisconsin,0.526411015,0.470600412,1,0.5262605,1,2014,0.05581060299999996,0.00015051981414793136,0.05252099,1.0
148,West Virginia,0.562667272,0.422850284,1,0.56564194,1,2014,0.13981698799999998,0.00297466764004517,0.13128388,1.0
149,Wyoming,0.749385114,0.250614886,1,0.74570054,1,2014,0.498770228,0.0036845758415832153,0.49140108,1.0
150,Alaska,0.5828031581281214,0.4171968418718786,1,0.5819029,1,2016,0.16560631625624284,0.0009002369283228617,0.16380584,1.0
151,Alabama,0.6627250832325974,0.3372749167674027,1,0.661556,1,2016,0.3254501664651947,0.001169077754692105,0.323112,1.0
152,Arkansas,0.8722736251408068,0.1277263748591932,1,0.8665095,1,2016,0.7445472502816135,0.00576412797512682,0.733019,1.0
153,Arizona,0.5500327901361703,0.4499672098638296,1,0.55097175,1,2016,0.10006558027234075,0.000938956308531802,0.10194349,1.0
154,California,0.3518615199453799,0.64813848005462,0,0.3530174,0,2016,-0.29627696010924015,0.0011558698289426128,-0.29396522,-1.0
155,Colorado,0.5048634446908783,0.4951365553091217,1,0.50241685,1,2016,0.009726889381756587,0.0024465955545257545,0.0048336983,1.0
156,Connecticut,0.3758795756621944,0.6174050421933682,0,0.37647897,0,2016,-0.24152546653117385,0.0005993943886173914,-0.24704206,-1.0
157,Delaware,0.4245383203360806,0.5754616796639194,0,0.42322487,0,2016,-0.1509233593278388,0.0013134539458523053,-0.15355027,-1.0
158,Florida,0.5429296636646832,0.4570703363353168,1,0.54550403,1,2016,0.08585932732936641,0.002574369900838036,0.09100807,1.0
159,Georgia,0.6026311511558126,0.3973688488441875,1,0.6024183,1,2016,0.20526230231162507,0.0002128476661275025,0.2048366,1.0
160,Hawaii,0.2130577693951842,0.7869422306048157,0,0.21430364,0,2016,-0.5738844612096315,0.001245873116183599,-0.5713928,-1.0
161,Iowa,0.5467964296137102,0.4532035703862898,1,0.54692,1,2016,0.09359285922742044,0.0001235718930951979,0.09384,1.0
162,Idaho,0.6816747291846905,0.3183252708153094,1,0.6799643,1,2016,0.3633494583693811,0.0017104252143536058,0.3599286,1.0
163,Illinois,0.460339648523456,0.539660351476544,0,0.46021894,0,2016,-0.07932070295308802,0.00012071231854571263,-0.07956216,-1.0
164,Indiana,0.5781460721426024,0.4218539278573975,1,0.5771187,1,2016,0.15629214428520488,0.0010273773603453051,0.15423739,1.0
165,Kansas,0.6319114173497112,0.2891178598897723,1,0.6341557,1,2016,0.34279355745993895,0.0022442733203021925,0.26831138,1.0
166,Kentucky,0.7071438445727132,0.2928561554272868,1,0.7069345,1,2016,0.41428768914542635,0.00020933291118363506,0.41386902,1.0
167,Louisiana,0.6895923091743759,0.3104076908256241,1,0.6901729,1,2016,0.3791846183487518,0.0005806015159317557,0.38034582,1.0
168,Massachusetts,0.156673181967204,0.8142451697867872,0,0.15669867,0,2016,-0.6575719878195831,2.5491996342746903e-05,-0.6866026,-1.0
169,Maryland,0.3702776597513439,0.629722340248656,0,0.3691651,0,2016,-0.2594446804973121,0.0011125670446636149,-0.26166984,-1.0
170,Maine,0.4803917352306356,0.5196082647693644,0,0.47812027,0,2016,-0.039216529538728784,0.002271467839430774,-0.043759465,-1.0
171,Michigan,0.5055688241399997,0.4944311758600003,1,0.5082282,1,2016,0.011137648279999413,0.002659358652663868,0.016456366,1.0
172,Minnesota,0.5778644181540693,0.4221355818459307,1,0.57829446,1,2016,0.1557288363081386,0.0004300378510271319,0.15658891,1.0
173,Missouri,0.6058391342364952,0.3941608657635048,1,0.60745496,1,2016,0.21167826847299037,0.0016158213413551836,0.21490991,1.0
174,Mississippi,0.5984490481916697,0.3954698564727889,1,0.5991681,1,2016,0.20297919171888074,0.0007190736230581196,0.19833624,1.0
175,Montana,0.5808495003836939,0.419150499616306,1,0.58230686,1,2016,0.16169900076738786,0.0014573614937475332,0.16461372,1.0
176,North Carolina,0.5331880024932533,0.4668119975067467,1,0.53606987,1,2016,0.06637600498650659,0.0028818675018639217,0.07213974,1.0
177,North Dakota,0.7443129944617107,0.2556870055382892,1,0.7410677,1,2016,0.4886259889234215,0.0032452869231059944,0.48213542,1.0
178,Nebraska,0.716078065720898,0.2839219342791019,1,0.71313065,1,2016,0.43215613144179615,0.0029474128163875513,0.4262613,1.0
179,New Hampshire,0.4448606788045674,0.4736498309957105,0,0.44544056,0,2016,-0.028789152191143086,0.0005798817747325047,-0.10911891,-1.0
180,New Jersey,0.4583752446665444,0.5416247553334557,0,0.45790562,0,2016,-0.08324951066691127,0.0004696243300117975,-0.08418873,-1.0
181,New Mexico,0.4398709836216887,0.5601290163783113,0,0.44097593,0,2016,-0.12025803275662256,0.0011049506453553737,-0.11804816,-1.0
182,Nevada,0.4950264207422454,0.5049735792577545,0,0.4982569,0,2016,-0.009947158515509147,0.00323047122362069,-0.0034861863,-1.0
183,New York,0.3375181318585168,0.6624818681414831,0,0.33872524,0,2016,-0.3249637362829663,0.001207107179950595,-0.32254955,-1.0
184,Ohio,0.5816898810610149,0.418310118938985,1,0.5789863,1,2016,0.16337976212202993,0.0027035939440105405,0.15797257,1.0
185,Oklahoma,0.7083379396461265,0.2765799350827052,1,0.7080795,1,2016,0.4317580045634213,0.00025842275846166274,0.41615903,1.0
186,Oregon,0.3981123144573857,0.5593178056091321,0,0.4027465,0,2016,-0.16120549115174643,0.004634184127361607,-0.194507,-1.0
187,Pennsylvania,0.5411954734693143,0.4588045265306857,1,0.539401,1,2016,0.08239094693862858,0.0017944786916348487,0.07880199,1.0
188,Rhode Island,0.3285374545809592,0.6128914522701965,0,0.3287735,0,2016,-0.2843539976892373,0.0002360439541970738,-0.342453,-1.0
189,South Carolina,0.6053315386387194,0.3946684613612806,1,0.60549456,1,2016,0.21066307727743877,0.00016302017246838663,0.21098912,1.0
190,South Dakota,0.6410278587896955,0.3589721412103045,1,0.64121276,1,2016,0.28205571757939096,0.00018490261243464534,0.28242552,1.0
191,Tennessee,0.6247200503543415,0.3405111969402628,1,0.6271423,1,2016,0.28420885341407875,0.0024222597881755625,0.25428462,1.0
192,Texas,0.6068076694359641,0.3931923305640359,1,0.60481507,1,2016,0.21361533887192818,0.001992603575215801,0.20963013,1.0
193,Utah,0.6660608741782436,0.3339391258217564,1,0.66740894,1,2016,0.33212174835648717,0.0013480689980259752,0.3348179,1.0
194,Virginia,0.4929131086895589,0.4973035686394495,0,0.48964003,0,2016,-0.004390459949890624,0.0032730814049367063,-0.020719975,-1.0
195,Vermont,0.0,1.0,0,0.0035782186,0,2016,-1.0,0.0035782186314463615,-0.9928435,-1.0
196,Washington,0.4472697693594627,0.5527302306405373,0,0.44159648,0,2016,-0.10546046128107456,0.005673291135662062,-0.116807014,-1.0
197,Wisconsin,0.4698672269311648,0.5104507700246164,0,0.47305954,0,2016,-0.04058354309345158,0.00319230809538551,-0.05388093,-1.0
